"screen_name","user_id","follower_count"
"BenjaminTankard",1407657494101446656,323
"benkhalfa_amine",1278869279690063872,194
"bennyretired",1354847831723446272,1561
"benstonenft",1.407334254066e+18,17
"BentCresp",1373076175740932096,130
"bento0x",1361335834637701120,152
"BenzeneCrypto",1434451635686678528,83
"Bergodor",257438325,85
"BerlinerBTC",1376771038109954048,16
"beto2391",2909196981,71
"beuswhale",1418302308962627584,382
"BEXARSS",381370935,148
"BeyondC15",1219664370550104064,701
"bfjoe1",1423043307265953792,0
"BGameAlliance",1043413955312533504,10584
"BHARATH90849583",894222465202741248,117
"bhdrsln1",1113406017101021184,132
"bibryam",19341814,18764
"BiePapasa",1387800905790205952,18
"bigdaddyboba",1245377717773762560,23
"bigdaddycreel",105487274,770
"BigDanski",1294440253,1234
"BigGuap69",1014937347018936320,1156
"BigKahuna_OG",1347001383300464640,75
"biglounger",592402420,119
"BigMeetch38",543906905,85
"BigOhmie",2997805284,338
"bigtechbozo",1406004315177717760,11
"bikov_roman",1166539946011832320,96
"bill_papas_12",3108854350,759
"billychuckfist",90945735,788
"BinaryAssets",1105065557462839296,4149
"Bingbong900",1413551900729876480,508
"Birdmanpprrtt",752338893714755584,130
"birdsarentrea18",1336729926108672000,18
"birdshot23",1897830942,197
"BitAdviser",858796452478431232,289
"bitcoin4bernie",3183848149,1833
"bitcoinbella_",935705323364433920,39707
"bitcoinbigknife",962076122883084288,537
"bitcoinhollder",256010610,706
"bitcoinPalmer",889455645837201408,1346
"Bitcorn_eth",724859409466298368,502
"bitdig_io",3905715931,17
"Bitgeta",966743272940072960,78
"bithydra",42968298,2365
"BitLift",269701337,1694
"bitmania6",1383798101698170880,10
"bitmarx",328692585,580
"bitpixi",2344125559,9781
"BituCatalin",2409422837,8
"bjessei",2346379357,45
"bjornbrussee",141141694,74
"BjsCrypted",1363836233881972736,15
"BjWickz",1302488864624439296,307
"BKK_BROS",1060626885925720064,7598
"BlackAlienDCL",1411691441357721600,339
"BlackNBlUU199",1209593381040664576,37
"blackshifter82",204861167,270
"BladeSerenada",1310989670633951232,254
"blargcrypto",1434308320551129088,106
"blazed_bison",1204964774259281920,2599
"bleekertrades",809002141838876672,459
"blind_leaf",485758031,1232
"blindmarksman1",1333071075660484608,434
"blingusKosium",1396523479046844416,175
"blitzrick",1353260671,1738
"blkdgld",1013365796184248320,8
"BlnkSocial",875011459096363008,855
"Blockanalia",1225362522,8268
"BlockChain4Prez",1317500724893294592,537
"blockchainbk",1434240392711614464,44
"blockchaintate",1362225129397313536,20
"BlockedShow",1331955867231670272,214
"BlockEnthusiast",962932834418790400,2813
"BlockLollo",847762481548316672,84
"BlockWorkOrange",1259312323195330560,132
"BloqReal",1026566308027138048,200
"BloveCrypto",934254576227799040,390
"Blu3B3rry_eth",1430124062282551296,131
"Bluedragon7070",1174863048730796032,137
"bluemagician86",21295507,4267
"bluemattison",1321442564,1234
"Bluesama1",1006914979,82
"BlueSaunaRobe",1267347034907926528,98
"bluesinsoul",61934530,74
"bmbzlgzzlr",1398154321460559872,14
"BMeener",1422693364659490816,63
"BMonkx",1376895459919327232,5
"BNA74379004",1397381507371573248,49
"bNuWBW7LDJkuVd8",1348054912006041600,24
"boatro23",914961060502806528,6
"Bob_Lizewski",917566489,179
"bocahkrypto69",1182900606391861248,1171
"Bodhi_Bro",1643341003,52
"bogey2013",1543087764,158
"BoggedForever",1348674564071378944,30
"BohoVonThugginz",1321619906236833792,997
"Boilertribe",3378959999,63
"BokKenneth",802660050078531584,632
"BonesXBT",794968722729472000,401
"Bonzo_dv",1427124052938739712,108
"boot_junkies",3930912978,152
"Borat779",2317522502,22
"BoredApe8692",1389963140536885248,851
"BoredElonMusk",1666038950,1754502
"BoredEngel",1690918350,1382
"borg_brain",1311767403898925056,1460
"Boris_246",938140973401489408,85
"bornolder",1360638608756137984,1026
"borosunforger",1402807326155829248,14
"BorrachinhaMRA",1297016272073289728,18
"bosmith321",1177347224487038976,25
"bosoun",195515720,163
"bouhbot",916723746655948800,118
"BowlofSpaghett6",1433837016639102976,0
"BowTiedShinobi",1401396582973677568,487
"boxxiegaming",1374170710038355968,86
"Boyan3211",2363117905,44
"BPianismo",1443784894715367424,69
"BRabbit_21",273235871,191
"Brad_Laurie",2156102767,53798
"BraedenGreseth",3145888150,17
"braian_grill",148809578,135
"BrainEngineer",21038509,1036
"BrainyDeLuca",966229740,303
"bramanathan",237624170,11371
"brandonbee013",1276759647555186688,213
"BrandonTriola",91128122,1033
"Brave3d",94405870,140
"Bravepixels",4828144027,1105
"BrawanskiMarcin",1104095437433331712,0
"brbnck",911990510931279872,497
